t,o,h,l,c,v
1744776000000,185.7,186.73,182.56,184.97,35063316.0
1744862400000,184.99,187.43,184.46,186.48,42359249.0
1745208000000,185.0,185.29,180.765,182.74,26018999.0
1745294400000,185.15,188.1,184.55,187.47,34477053.0
1745380800000,192.92,195.51,189.84,190.25,44866133.0
1745467200000,190.76,194.37,189.89,194.06,29820132.0
1745553600000,192.72,194.26,191.55,194.12,25028968.0
1745812800000,194.5,196.15,192.53,194.94,22482254.0
1745899200000,194.47,196.86,193.01,196.09,20118155.0
1745985600000,193.14,195.48,190.721,194.86,29046138.0
1746072000000,195.71,197.67,193.74,196.07,33169717.0
1746158400000,198.33,201.21,198.18,200.48,30201787.0
1746417600000,198.57,200.5,198.08,198.94,20834208.0
1746504000000,196.59,198.59,195.64,196.77,24642149.0
1746590400000,198.1,198.56,196.04,197.42,24027152.0
1746676800000,199.77,202.735,198.26,201.18,32646309.0
1746763200000,201.54,202.28,199.96,200.81,17203045.0
1747022400000,208.84,209.73,205.82,207.87,38207233.0
1747108800000,208.93,209.61,207.96,208.63,28295839.0
1747195200000,208.04,208.54,206.53,206.78,26316119.0
1747281600000,206.58,208.19,205.39,208.13,21563654.0
1747368000000,208.42,210.13,207.78,209.85,28906392.0
1747627200000,206.8,209.09,206.26,208.97,25859569.0
1747713600000,208.66,209.755,207.96,209.08,22053136.0
1747800000000,206.63,207.61,202.84,203.21,36704354.0
1747886400000,202.29,204.37,201.53,203.2,31831347.0
1747972800000,199.78,203.255,199.65,202.56,29114602.0
1748318400000,205.64,207.75,204.16,207.7,31655884.0
1748404800000,207.71,208.03,205.2,205.51,26046664.0
1748491200000,206.95,207.06,204.47,206.12,32797660.0
1748577600000,205.14,206.245,203.54,205.07,37768909.0
1748836800000,205.32,205.84,202.67,205.71,30334304.0
1748923200000,206.46,209.605,205.55,209.03,37702195.0
1749009600000,209.18,210.01,208.14,208.44,27225338.0
1749096000000,208.7,209.83,207.0,208.53,35778310.0
1749182400000,211.5,212.1284,210.6,211.9,32144457.0
1749441600000,213.87,214.28,212.55,213.36,33984448.0
1749528000000,214.46,215.43,213.81,214.51,30182222.0
1749614400000,215.58,215.93,213.3,213.63,31113379.0
1749700800000,212.17,213.265,211.63,212.78,25366979.0
1749787200000,209.84,211.44,208.22,208.89,60579985.0
1750046400000,210.48,211.95,209.64,210.77,28974028.0
1750132800000,209.06,210.45,208.37,208.55,32843165.0
1750219200000,208.44,211.39,207.78,209.65,42850532.0
1750392000000,211.11,211.25,208.46,209.21,36978134.0
1750651200000,208.48,211.78,206.81,211.77,35516436.0
1750737600000,213.29,214.93,212.36,214.47,31772547.0
1750824000000,214.655,214.73,211.89,211.97,27725576.0
1750910400000,212.83,215.545,212.7,215.41,26261197.0
1750996800000,216.05,217.405,214.125,215.48,47717340.0
1751256000000,216.68,216.71,215.39,215.79,25558000.0
1751342400000,214.62,220.525,214.1499,218.01,43864836.0
1751428800000,218.37,221.095,217.36,221.03,35735202.0
1751515200000,222.01,223.33,221.77,223.08,23515741.0
1751860800000,221.57,222.82,218.41,219.73,41551196.0
1751947200000,220.58,222.29,220.33,221.25,36339315.0
1752033600000,222.57,223.69,221.115,223.65,32425152.0
1752120000000,223.39,226.05,222.86,224.8,33865885.0
1752206400000,223.17,223.54,221.5727,221.7,31579641.0
1752465600000,221.37,223.335,221.06,223.19,24632248.0
1752552000000,224.07,224.23,218.79,218.82,44215375.0
1752638400000,220.22,221.365,216.91,221.02,48199763.0
